Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
225,Delibird,https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pok%C3%A9mon),45,55,45,75,65,45,330,,Delivery Pokémon,Ice,Flying,0.9,16.0,2.0
226,Mantine,https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pok%C3%A9mon),85,40,70,70,80,140,485,,Kite Pokémon,Water,Flying,2.1,220.0,2.0
227,Skarmory,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon),65,80,140,70,40,70,465,,Armor Bird Pokémon,Steel,Flying,1.7,50.5,2.0
227,Skarmory,https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pok%C3%A9mon),65,140,110,110,40,100,565,Mega Skarmory,Armor Bird Pokémon,Steel,Flying,1.7,50.5,2.0
228,Houndour,https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pok%C3%A9mon),45,60,30,65,80,50,330,,Dark Pokémon,Dark,Fire,0.6,10.8,2.0
229,Houndoom,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon),75,90,50,95,110,80,500,,Dark Pokémon,Dark,Fire,1.4,35.0,2.0
229,Houndoom,https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon),75,90,90,115,140,90,600,Mega Houndoom,Dark Pokémon,Dark,Fire,1.4,35.0,2.0
230,Kingdra,https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pok%C3%A9mon),75,95,95,85,95,95,540,,Dragon Pokémon,Water,Dragon,1.8,152.0,2.0
231,Phanpy,https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pok%C3%A9mon),90,60,60,40,40,40,330,,Long Nose Pokémon,Ground,,0.5,33.5,2.0
232,Donphan,https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon),90,120,120,50,60,60,500,,Armor Pokémon,Ground,,1.1,120.0,2.0
233,Porygon2,https://bulbapedia.bulbagarden.net/wiki/Porygon2_(Pok%C3%A9mon),85,80,90,60,105,95,515,,Virtual Pokémon,Normal,,0.6,32.5,2.0
234,Stantler,https://bulbapedia.bulbagarden.net/wiki/Stantler_(Pok%C3%A9mon),73,95,62,85,85,65,465,,Big Horn Pokémon,Normal,,1.4,71.2,2.0
235,Smeargle,https://bulbapedia.bulbagarden.net/wiki/Smeargle_(Pok%C3%A9mon),55,20,35,75,20,45,250,,Painter Pokémon,Normal,,1.2,58.0,2.0
236,Tyrogue,https://bulbapedia.bulbagarden.net/wiki/Tyrogue_(Pok%C3%A9mon),35,35,35,35,35,35,210,,Scuffle Pokémon,Fighting,,0.7,21.0,2.0
237,Hitmontop,https://bulbapedia.bulbagarden.net/wiki/Hitmontop_(Pok%C3%A9mon),50,95,95,70,35,110,455,,Handstand Pokémon,Fighting,,1.4,48.0,2.0
238,Smoochum,https://bulbapedia.bulbagarden.net/wiki/Smoochum_(Pok%C3%A9mon),45,30,15,65,85,65,305,,Kiss Pokémon,Ice,Psychic,0.4,6.0,2.0
239,Elekid,https://bulbapedia.bulbagarden.net/wiki/Elekid_(Pok%C3%A9mon),45,63,37,95,65,55,360,,Electric Pokémon,Electric,,0.6,23.5,2.0
240,Magby,https://bulbapedia.bulbagarden.net/wiki/Magby_(Pok%C3%A9mon),45,75,37,83,70,55,365,,Live Coal Pokémon,Fire,,0.7,21.4,2.0
241,Miltank,https://bulbapedia.bulbagarden.net/wiki/Miltank_(Pok%C3%A9mon),95,80,105,100,40,70,490,,Milk Cow Pokémon,Normal,,1.2,75.5,2.0
242,Blissey,https://bulbapedia.bulbagarden.net/wiki/Blissey_(Pok%C3%A9mon),255,10,10,55,75,135,540,,Happiness Pokémon,Normal,,1.5,46.8,2.0
243,Raikou,https://bulbapedia.bulbagarden.net/wiki/Raikou_(Pok%C3%A9mon),90,85,75,115,115,100,580,,Thunder Pokémon,Electric,,1.9,178.0,2.0
244,Entei,https://bulbapedia.bulbagarden.net/wiki/Entei_(Pok%C3%A9mon),115,115,85,100,90,75,580,,Volcano Pokémon,Fire,,2.1,198.0,2.0
245,Suicune,https://bulbapedia.bulbagarden.net/wiki/Suicune_(Pok%C3%A9mon),100,75,115,85,90,115,580,,Aurora Pokémon,Water,,2.0,187.0,2.0
246,Larvitar,https://bulbapedia.bulbagarden.net/wiki/Larvitar_(Pok%C3%A9mon),50,64,50,41,45,50,300,,Rock Skin Pokémon,Rock,Ground,0.6,72.0,2.0
247,Pupitar,https://bulbapedia.bulbagarden.net/wiki/Pupitar_(Pok%C3%A9mon),70,84,70,51,65,70,410,,Hard Shell Pokémon,Rock,Ground,1.2,152.0,2.0
248,Tyranitar,https://bulbapedia.bulbagarden.net/wiki/Tyranitar_(Pok%C3%A9mon),100,134,110,61,95,100,600,,Armor Pokémon,Rock,Dark,2.0,202.0,2.0
248,Tyranitar,https://bulbapedia.bulbagarden.net/wiki/Tyranitar_(Pok%C3%A9mon),100,164,150,71,95,120,700,Mega Tyranitar,Armor Pokémon,Rock,Dark,2.0,202.0,2.0
249,Lugia,https://bulbapedia.bulbagarden.net/wiki/Lugia_(Pok%C3%A9mon),106,90,130,110,90,154,680,,Diving Pokémon,Psychic,Flying,5.2,216.0,2.0
250,Ho-Oh,https://bulbapedia.bulbagarden.net/wiki/Ho-Oh_(Pok%C3%A9mon),106,130,90,90,110,154,680,,Rainbow Pokémon,Fire,Flying,3.8,199.0,2.0
251,Celebi,https://bulbapedia.bulbagarden.net/wiki/Celebi_(Pok%C3%A9mon),100,100,100,100,100,100,600,,Time Travel Pokémon,Psychic,Grass,0.6,5.0,2.0
252,Treecko,https://bulbapedia.bulbagarden.net/wiki/Treecko_(Pok%C3%A9mon),40,45,35,70,65,55,310,,Wood Gecko Pokémon,Grass,,0.5,5.0,3.0
253,Grovyle,https://bulbapedia.bulbagarden.net/wiki/Grovyle_(Pok%C3%A9mon),50,65,45,95,85,65,405,,Wood Gecko Pokémon,Grass,,0.9,21.6,3.0
254,Sceptile,https://bulbapedia.bulbagarden.net/wiki/Sceptile_(Pok%C3%A9mon),70,85,65,120,105,85,530,,Forest Pokémon,Grass,,1.7,52.2,3.0
254,Sceptile,https://bulbapedia.bulbagarden.net/wiki/Sceptile_(Pok%C3%A9mon),70,110,75,145,145,85,630,Mega Sceptile,Forest Pokémon,Grass,,1.7,52.2,3.0
255,Torchic,https://bulbapedia.bulbagarden.net/wiki/Torchic_(Pok%C3%A9mon),45,60,40,45,70,50,310,,Chick Pokémon,Fire,,0.4,2.5,3.0
256,Combusken,https://bulbapedia.bulbagarden.net/wiki/Combusken_(Pok%C3%A9mon),60,85,60,55,85,60,405,,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,3.0
257,Blaziken,https://bulbapedia.bulbagarden.net/wiki/Blaziken_(Pok%C3%A9mon),80,120,70,80,110,70,530,,Blaze Pokémon,Fire,Fighting,1.9,52.0,3.0
257,Blaziken,https://bulbapedia.bulbagarden.net/wiki/Blaziken_(Pok%C3%A9mon),80,160,80,100,130,80,630,Mega Blaziken,Blaze Pokémon,Fire,Fighting,1.9,52.0,3.0
258,Mudkip,https://bulbapedia.bulbagarden.net/wiki/Mudkip_(Pok%C3%A9mon),50,70,50,40,50,50,310,,Mud Fish Pokémon,Water,,0.4,7.6,3.0
259,Marshtomp,https://bulbapedia.bulbagarden.net/wiki/Marshtomp_(Pok%C3%A9mon),70,85,70,50,60,70,405,,Mud Fish Pokémon,Water,Ground,0.7,28.0,3.0
260,Swampert,https://bulbapedia.bulbagarden.net/wiki/Swampert_(Pok%C3%A9mon),100,110,90,60,85,90,535,,Mud Fish Pokémon,Water,Ground,1.5,81.9,3.0
260,Swampert,https://bulbapedia.bulbagarden.net/wiki/Swampert_(Pok%C3%A9mon),100,150,110,70,95,110,635,Mega Swampert,Mud Fish Pokémon,Water,Ground,1.5,81.9,3.0
261,Poochyena,https://bulbapedia.bulbagarden.net/wiki/Poochyena_(Pok%C3%A9mon),35,55,35,35,30,30,220,,Bite Pokémon,Dark,,0.5,13.6,3.0
262,Mightyena,https://bulbapedia.bulbagarden.net/wiki/Mightyena_(Pok%C3%A9mon),70,90,70,70,60,60,420,,Bite Pokémon,Dark,,1.0,37.0,3.0
263,Zigzagoon,https://bulbapedia.bulbagarden.net/wiki/Zigzagoon_(Pok%C3%A9mon),38,30,41,60,30,41,240,,Tiny Raccoon Pokémon,Normal,,0.4,17.5,3.0
263,Zigzagoon,https://bulbapedia.bulbagarden.net/wiki/Zigzagoon_(Pok%C3%A9mon),38,30,41,60,30,41,240,Galarian Zigzagoon,Tiny Raccoon Pokémon,Normal,,0.4,17.5,3.0
264,Linoone,https://bulbapedia.bulbagarden.net/wiki/Linoone_(Pok%C3%A9mon),78,70,61,100,50,61,420,,Rushing Pokémon,Normal,,0.5,32.5,3.0
264,Linoone,https://bulbapedia.bulbagarden.net/wiki/Linoone_(Pok%C3%A9mon),78,70,61,100,50,61,420,Galarian Linoone,Rushing Pokémon,Normal,,0.5,32.5,3.0
265,Wurmple,https://bulbapedia.bulbagarden.net/wiki/Wurmple_(Pok%C3%A9mon),45,45,35,20,20,30,195,,Worm Pokémon,Bug,,0.3,3.6,3.0
266,Silcoon,https://bulbapedia.bulbagarden.net/wiki/Silcoon_(Pok%C3%A9mon),50,35,55,15,25,25,205,,Cocoon Pokémon,Bug,,0.6,10.0,3.0
267,Beautifly,https://bulbapedia.bulbagarden.net/wiki/Beautifly_(Pok%C3%A9mon),60,70,50,65,100,50,395,,Butterfly Pokémon,Bug,Flying,1.0,28.4,3.0
268,Cascoon,https://bulbapedia.bulbagarden.net/wiki/Cascoon_(Pok%C3%A9mon),50,35,55,15,25,25,205,,Cocoon Pokémon,Bug,,0.7,11.5,3.0
269,Dustox,https://bulbapedia.bulbagarden.net/wiki/Dustox_(Pok%C3%A9mon),60,50,70,65,50,90,385,,Poison Moth Pokémon,Bug,Poison,1.2,31.6,3.0
270,Lotad,https://bulbapedia.bulbagarden.net/wiki/Lotad_(Pok%C3%A9mon),40,30,30,30,40,50,220,,Water Weed Pokémon,Water,Grass,0.5,2.6,3.0
271,Lombre,https://bulbapedia.bulbagarden.net/wiki/Lombre_(Pok%C3%A9mon),60,50,50,50,60,70,340,,Jolly Pokémon,Water,Grass,1.2,32.5,3.0
272,Ludicolo,https://bulbapedia.bulbagarden.net/wiki/Ludicolo_(Pok%C3%A9mon),80,70,70,70,90,100,480,,Carefree Pokémon,Water,Grass,1.5,55.0,3.0
273,Seedot,https://bulbapedia.bulbagarden.net/wiki/Seedot_(Pok%C3%A9mon),40,40,50,30,30,30,220,,Acorn Pokémon,Grass,,0.5,4.0,3.0
274,Nuzleaf,https://bulbapedia.bulbagarden.net/wiki/Nuzleaf_(Pok%C3%A9mon),70,70,40,60,60,40,340,,Wily Pokémon,Grass,Dark,1.0,28.0,3.0
275,Shiftry,https://bulbapedia.bulbagarden.net/wiki/Shiftry_(Pok%C3%A9mon),90,100,60,80,90,60,480,,Wicked Pokémon,Grass,Dark,1.3,59.6,3.0
276,Taillow,https://bulbapedia.bulbagarden.net/wiki/Taillow_(Pok%C3%A9mon),40,55,30,85,30,30,270,,Tiny Swallow Pokémon,Normal,Flying,0.3,2.3,3.0
277,Swellow,https://bulbapedia.bulbagarden.net/wiki/Swellow_(Pok%C3%A9mon),60,85,60,125,75,50,455,,Swallow Pokémon,Normal,Flying,0.7,19.8,3.0
278,Wingull,https://bulbapedia.bulbagarden.net/wiki/Wingull_(Pok%C3%A9mon),40,30,30,85,55,30,270,,Seagull Pokémon,Water,Flying,0.6,9.5,3.0
279,Pelipper,https://bulbapedia.bulbagarden.net/wiki/Pelipper_(Pok%C3%A9mon),60,50,100,65,95,70,440,,Water Bird Pokémon,Water,Flying,1.2,28.0,3.0
280,Ralts,https://bulbapedia.bulbagarden.net/wiki/Ralts_(Pok%C3%A9mon),28,25,25,40,45,35,198,,Feeling Pokémon,Psychic,Fairy,0.4,6.6,3.0
281,Kirlia,https://bulbapedia.bulbagarden.net/wiki/Kirlia_(Pok%C3%A9mon),38,35,35,50,65,55,278,,Emotion Pokémon,Psychic,Fairy,0.8,20.2,3.0
282,Gardevoir,https://bulbapedia.bulbagarden.net/wiki/Gardevoir_(Pok%C3%A9mon),68,65,65,80,125,115,518,,Embrace Pokémon,Psychic,Fairy,1.6,48.4,3.0
282,Gardevoir,https://bulbapedia.bulbagarden.net/wiki/Gardevoir_(Pok%C3%A9mon),68,85,65,100,165,135,618,Mega Gardevoir,Embrace Pokémon,Psychic,Fairy,1.6,48.4,3.0
283,Surskit,https://bulbapedia.bulbagarden.net/wiki/Surskit_(Pok%C3%A9mon),40,30,32,65,50,52,269,,Pond Skater Pokémon,Bug,Water,0.5,1.7,3.0
284,Masquerain,https://bulbapedia.bulbagarden.net/wiki/Masquerain_(Pok%C3%A9mon),70,60,62,80,100,82,454,,Eyeball Pokémon,Bug,Flying,0.8,3.6,3.0
285,Shroomish,https://bulbapedia.bulbagarden.net/wiki/Shroomish_(Pok%C3%A9mon),60,40,60,35,40,60,295,,Mushroom Pokémon,Grass,,0.4,4.5,3.0
286,Breloom,https://bulbapedia.bulbagarden.net/wiki/Breloom_(Pok%C3%A9mon),60,130,80,70,60,60,460,,Mushroom Pokémon,Grass,Fighting,1.2,39.2,3.0
287,Slakoth,https://bulbapedia.bulbagarden.net/wiki/Slakoth_(Pok%C3%A9mon),60,60,60,30,35,35,280,,Slacker Pokémon,Normal,,0.8,24.0,3.0
288,Vigoroth,https://bulbapedia.bulbagarden.net/wiki/Vigoroth_(Pok%C3%A9mon),80,80,80,90,55,55,440,,Wild Monkey Pokémon,Normal,,1.4,46.5,3.0
289,Slaking,https://bulbapedia.bulbagarden.net/wiki/Slaking_(Pok%C3%A9mon),150,160,100,100,95,65,670,,Lazy Pokémon,Normal,,2.0,130.5,3.0
290,Nincada,https://bulbapedia.bulbagarden.net/wiki/Nincada_(Pok%C3%A9mon),31,45,90,40,30,30,266,,Trainee Pokémon,Bug,Ground,0.5,5.5,3.0
291,Ninjask,https://bulbapedia.bulbagarden.net/wiki/Ninjask_(Pok%C3%A9mon),61,90,45,160,50,50,456,,Ninja Pokémon,Bug,Flying,0.8,12.0,3.0
292,Shedinja,https://bulbapedia.bulbagarden.net/wiki/Shedinja_(Pok%C3%A9mon),1,90,45,40,30,30,236,,Shed Pokémon,Bug,Ghost,0.8,1.2,3.0
293,Whismur,https://bulbapedia.bulbagarden.net/wiki/Whismur_(Pok%C3%A9mon),64,51,23,28,51,23,240,,Whisper Pokémon,Normal,,0.6,16.3,3.0
294,Loudred,https://bulbapedia.bulbagarden.net/wiki/Loudred_(Pok%C3%A9mon),84,71,43,48,71,43,360,,Big Voice Pokémon,Normal,,1.0,40.5,3.0
295,Exploud,https://bulbapedia.bulbagarden.net/wiki/Exploud_(Pok%C3%A9mon),104,91,63,68,91,73,490,,Loud Noise Pokémon,Normal,,1.5,84.0,3.0
296,Makuhita,https://bulbapedia.bulbagarden.net/wiki/Makuhita_(Pok%C3%A9mon),72,60,30,25,20,30,237,,Guts Pokémon,Fighting,,1.0,86.4,3.0
297,Hariyama,https://bulbapedia.bulbagarden.net/wiki/Hariyama_(Pok%C3%A9mon),144,120,60,50,40,60,474,,Arm Thrust Pokémon,Fighting,,2.3,253.8,3.0
298,Azurill,https://bulbapedia.bulbagarden.net/wiki/Azurill_(Pok%C3%A9mon),50,20,40,20,20,40,190,,Polka Dot Pokémon,Normal,Fairy,0.2,2.0,3.0
299,Nosepass,https://bulbapedia.bulbagarden.net/wiki/Nosepass_(Pok%C3%A9mon),30,45,135,30,45,90,375,,Compass Pokémon,Rock,,1.0,97.0,3.0
300,Skitty,https://bulbapedia.bulbagarden.net/wiki/Skitty_(Pok%C3%A9mon),50,45,45,50,35,35,260,,Kitten Pokémon,Normal,,0.6,11.0,3.0
301,Delcatty,https://bulbapedia.bulbagarden.net/wiki/Delcatty_(Pok%C3%A9mon),70,65,65,90,55,55,400,,Prim Pokémon,Normal,,1.1,32.6,3.0
302,Sableye,https://bulbapedia.bulbagarden.net/wiki/Sableye_(Pok%C3%A9mon),50,75,75,50,65,65,380,,Darkness Pokémon,Dark,Ghost,0.5,11.0,3.0
302,Sableye,https://bulbapedia.bulbagarden.net/wiki/Sableye_(Pok%C3%A9mon),50,85,125,20,85,115,480,Mega Sableye,Darkness Pokémon,Dark,Ghost,0.5,11.0,3.0
303,Mawile,https://bulbapedia.bulbagarden.net/wiki/Mawile_(Pok%C3%A9mon),50,85,85,50,55,55,380,,Deceiver Pokémon,Steel,Fairy,0.6,11.5,3.0
303,Mawile,https://bulbapedia.bulbagarden.net/wiki/Mawile_(Pok%C3%A9mon),50,105,125,50,55,95,480,Mega Mawile,Deceiver Pokémon,Steel,Fairy,0.6,11.5,3.0
303,Mawile,https://bulbapedia.bulbagarden.net/wiki/Mawile_(Pok%C3%A9mon),50,147,125,50,55,95,522,Mega MawileZA,Deceiver Pokémon,Steel,Fairy,0.6,11.5,3.0
304,Aron,https://bulbapedia.bulbagarden.net/wiki/Aron_(Pok%C3%A9mon),50,70,100,30,40,40,330,,Iron Armor Pokémon,Steel,Rock,0.4,60.0,3.0
305,Lairon,https://bulbapedia.bulbagarden.net/wiki/Lairon_(Pok%C3%A9mon),60,90,140,40,50,50,430,,Iron Armor Pokémon,Steel,Rock,0.9,120.0,3.0
306,Aggron,https://bulbapedia.bulbagarden.net/wiki/Aggron_(Pok%C3%A9mon),70,110,180,50,60,60,530,,Iron Armor Pokémon,Steel,Rock,2.1,360.0,3.0
306,Aggron,https://bulbapedia.bulbagarden.net/wiki/Aggron_(Pok%C3%A9mon),70,140,230,50,60,80,630,Mega Aggron,Iron Armor Pokémon,Steel,Rock,2.1,360.0,3.0
307,Meditite,https://bulbapedia.bulbagarden.net/wiki/Meditite_(Pok%C3%A9mon),30,40,55,60,40,55,280,,Meditate Pokémon,Fighting,Psychic,0.6,11.2,3.0
307,Meditite,https://bulbapedia.bulbagarden.net/wiki/Meditite_(Pok%C3%A9mon),30,56,55,60,40,55,296,in Legends: Z-A,Meditate Pokémon,Fighting,Psychic,0.6,11.2,3.0
308,Medicham,https://bulbapedia.bulbagarden.net/wiki/Medicham_(Pok%C3%A9mon),60,60,75,80,60,75,410,,Meditate Pokémon,Fighting,Psychic,1.3,31.5,3.0
308,Medicham,https://bulbapedia.bulbagarden.net/wiki/Medicham_(Pok%C3%A9mon),60,84,75,80,60,75,434,in Legends: Z-A,Meditate Pokémon,Fighting,Psychic,1.3,31.5,3.0
308,Medicham,https://bulbapedia.bulbagarden.net/wiki/Medicham_(Pok%C3%A9mon),60,100,85,100,80,85,510,Mega Medicham,Meditate Pokémon,Fighting,Psychic,1.3,31.5,3.0
308,Medicham,https://bulbapedia.bulbagarden.net/wiki/Medicham_(Pok%C3%A9mon),60,140,85,100,80,85,550,Mega MedichamZA,Meditate Pokémon,Fighting,Psychic,1.3,31.5,3.0
309,Electrike,https://bulbapedia.bulbagarden.net/wiki/Electrike_(Pok%C3%A9mon),40,45,40,65,65,40,295,,Lightning Pokémon,Electric,,0.6,15.2,3.0
310,Manectric,https://bulbapedia.bulbagarden.net/wiki/Manectric_(Pok%C3%A9mon),70,75,60,105,105,60,475,,Discharge Pokémon,Electric,,1.5,40.2,3.0
310,Manectric,https://bulbapedia.bulbagarden.net/wiki/Manectric_(Pok%C3%A9mon),70,75,80,135,135,80,575,Mega Manectric,Discharge Pokémon,Electric,,1.5,40.2,3.0
311,Plusle,https://bulbapedia.bulbagarden.net/wiki/Plusle_(Pok%C3%A9mon),60,50,40,95,85,75,405,,Cheering Pokémon,Electric,,0.4,4.2,3.0
312,Minun,https://bulbapedia.bulbagarden.net/wiki/Minun_(Pok%C3%A9mon),60,40,50,95,75,85,405,,Cheering Pokémon,Electric,,0.4,4.2,3.0
313,Volbeat,https://bulbapedia.bulbagarden.net/wiki/Volbeat_(Pok%C3%A9mon),65,73,75,85,47,85,430,,Firefly Pokémon,Bug,,0.7,17.7,3.0
314,Illumise,https://bulbapedia.bulbagarden.net/wiki/Illumise_(Pok%C3%A9mon),65,47,75,85,73,85,430,,Firefly Pokémon,Bug,,0.6,17.7,3.0
315,Roselia,https://bulbapedia.bulbagarden.net/wiki/Roselia_(Pok%C3%A9mon),50,60,45,65,100,80,400,,Thorn Pokémon,Grass,Poison,0.3,2.0,3.0
316,Gulpin,https://bulbapedia.bulbagarden.net/wiki/Gulpin_(Pok%C3%A9mon),70,43,53,40,43,53,302,,Stomach Pokémon,Poison,,0.4,10.3,3.0
317,Swalot,https://bulbapedia.bulbagarden.net/wiki/Swalot_(Pok%C3%A9mon),100,73,83,55,73,83,467,,Poison Bag Pokémon,Poison,,1.7,80.0,3.0
318,Carvanha,https://bulbapedia.bulbagarden.net/wiki/Carvanha_(Pok%C3%A9mon),45,90,20,65,65,20,305,,Savage Pokémon,Water,Dark,0.8,20.8,3.0
319,Sharpedo,https://bulbapedia.bulbagarden.net/wiki/Sharpedo_(Pok%C3%A9mon),70,120,40,95,95,40,460,,Brutal Pokémon,Water,Dark,1.8,88.8,3.0
319,Sharpedo,https://bulbapedia.bulbagarden.net/wiki/Sharpedo_(Pok%C3%A9mon),70,140,70,105,110,65,560,Mega Sharpedo,Brutal Pokémon,Water,Dark,1.8,88.8,3.0
320,Wailmer,https://bulbapedia.bulbagarden.net/wiki/Wailmer_(Pok%C3%A9mon),130,70,35,60,70,35,400,,Ball Whale Pokémon,Water,,2.0,130.0,3.0
321,Wailord,https://bulbapedia.bulbagarden.net/wiki/Wailord_(Pok%C3%A9mon),170,90,45,60,90,45,500,,Float Whale Pokémon,Water,,14.5,398.0,3.0
322,Numel,https://bulbapedia.bulbagarden.net/wiki/Numel_(Pok%C3%A9mon),60,60,40,35,65,45,305,,Numb Pokémon,Fire,Ground,0.7,24.0,3.0
323,Camerupt,https://bulbapedia.bulbagarden.net/wiki/Camerupt_(Pok%C3%A9mon),70,100,70,40,105,75,460,,Eruption Pokémon,Fire,Ground,1.9,220.0,3.0
323,Camerupt,https://bulbapedia.bulbagarden.net/wiki/Camerupt_(Pok%C3%A9mon),70,120,100,20,145,105,560,Mega Camerupt,Eruption Pokémon,Fire,Ground,1.9,220.0,3.0
324,Torkoal,https://bulbapedia.bulbagarden.net/wiki/Torkoal_(Pok%C3%A9mon),70,85,140,20,85,70,470,,Coal Pokémon,Fire,,0.5,80.4,3.0
325,Spoink,https://bulbapedia.bulbagarden.net/wiki/Spoink_(Pok%C3%A9mon),60,25,35,60,70,80,330,,Bounce Pokémon,Psychic,,0.7,30.6,3.0
326,Grumpig,https://bulbapedia.bulbagarden.net/wiki/Grumpig_(Pok%C3%A9mon),80,45,65,80,90,110,470,,Manipulate Pokémon,Psychic,,0.9,71.5,3.0
327,Spinda,https://bulbapedia.bulbagarden.net/wiki/Spinda_(Pok%C3%A9mon),60,60,60,60,60,60,360,,Spot Panda Pokémon,Normal,,1.1,5.0,3.0
328,Trapinch,https://bulbapedia.bulbagarden.net/wiki/Trapinch_(Pok%C3%A9mon),45,100,45,10,45,45,290,,Ant Pit Pokémon,Ground,,0.7,15.0,3.0
329,Vibrava,https://bulbapedia.bulbagarden.net/wiki/Vibrava_(Pok%C3%A9mon),50,70,50,70,50,50,340,,Vibration Pokémon,Ground,Dragon,1.1,15.3,3.0
330,Flygon,https://bulbapedia.bulbagarden.net/wiki/Flygon_(Pok%C3%A9mon),80,100,80,100,80,80,520,,Mystic Pokémon,Ground,Dragon,2.0,82.0,3.0
331,Cacnea,https://bulbapedia.bulbagarden.net/wiki/Cacnea_(Pok%C3%A9mon),50,85,40,35,85,40,335,,Cactus Pokémon,Grass,,0.4,51.3,3.0
332,Cacturne,https://bulbapedia.bulbagarden.net/wiki/Cacturne_(Pok%C3%A9mon),70,115,60,55,115,60,475,,Scarecrow Pokémon,Grass,Dark,1.3,77.4,3.0
333,Swablu,https://bulbapedia.bulbagarden.net/wiki/Swablu_(Pok%C3%A9mon),45,40,60,50,40,75,310,,Cotton Bird Pokémon,Normal,Flying,0.4,1.2,3.0
334,Altaria,https://bulbapedia.bulbagarden.net/wiki/Altaria_(Pok%C3%A9mon),75,70,90,80,70,105,490,,Humming Pokémon,Dragon,Flying,1.1,20.6,3.0
334,Altaria,https://bulbapedia.bulbagarden.net/wiki/Altaria_(Pok%C3%A9mon),75,110,110,80,110,105,590,Mega Altaria,Humming Pokémon,Dragon,Flying,1.1,20.6,3.0
335,Zangoose,https://bulbapedia.bulbagarden.net/wiki/Zangoose_(Pok%C3%A9mon),73,115,60,90,60,60,458,,Cat Ferret Pokémon,Normal,,1.3,40.3,3.0
336,Seviper,https://bulbapedia.bulbagarden.net/wiki/Seviper_(Pok%C3%A9mon),73,100,60,65,100,60,458,,Fang Snake Pokémon,Poison,,2.7,52.5,3.0
337,Lunatone,https://bulbapedia.bulbagarden.net/wiki/Lunatone_(Pok%C3%A9mon),90,55,65,70,95,85,460,,Meteorite Pokémon,Rock,Psychic,1.0,168.0,3.0
338,Solrock,https://bulbapedia.bulbagarden.net/wiki/Solrock_(Pok%C3%A9mon),90,95,85,70,55,65,460,,Meteorite Pokémon,Rock,Psychic,1.2,154.0,3.0
339,Barboach,https://bulbapedia.bulbagarden.net/wiki/Barboach_(Pok%C3%A9mon),50,48,43,60,46,41,288,,Whiskers Pokémon,Water,Ground,0.4,1.9,3.0
340,Whiscash,https://bulbapedia.bulbagarden.net/wiki/Whiscash_(Pok%C3%A9mon),110,78,73,60,76,71,468,,Whiskers Pokémon,Water,Ground,0.9,23.6,3.0
341,Corphish,https://bulbapedia.bulbagarden.net/wiki/Corphish_(Pok%C3%A9mon),43,80,65,35,50,35,308,,Ruffian Pokémon,Water,,0.6,11.5,3.0
342,Crawdaunt,https://bulbapedia.bulbagarden.net/wiki/Crawdaunt_(Pok%C3%A9mon),63,120,85,55,90,55,468,,Rogue Pokémon,Water,Dark,1.1,32.8,3.0
343,Baltoy,https://bulbapedia.bulbagarden.net/wiki/Baltoy_(Pok%C3%A9mon),40,40,55,55,40,70,300,,Clay Doll Pokémon,Ground,Psychic,0.5,21.5,3.0
344,Claydol,https://bulbapedia.bulbagarden.net/wiki/Claydol_(Pok%C3%A9mon),60,70,105,75,70,120,500,,Clay Doll Pokémon,Ground,Psychic,1.5,108.0,3.0
345,Lileep,https://bulbapedia.bulbagarden.net/wiki/Lileep_(Pok%C3%A9mon),66,41,77,23,61,87,355,,Sea Lily Pokémon,Rock,Grass,1.0,23.8,3.0
346,Cradily,https://bulbapedia.bulbagarden.net/wiki/Cradily_(Pok%C3%A9mon),86,81,97,43,81,107,495,,Barnacle Pokémon,Rock,Grass,1.5,60.4,3.0
347,Anorith,https://bulbapedia.bulbagarden.net/wiki/Anorith_(Pok%C3%A9mon),45,95,50,75,40,50,355,,Old Shrimp Pokémon,Rock,Bug,0.7,12.5,3.0
348,Armaldo,https://bulbapedia.bulbagarden.net/wiki/Armaldo_(Pok%C3%A9mon),75,125,100,45,70,80,495,,Plate Pokémon,Rock,Bug,1.5,68.2,3.0
349,Feebas,https://bulbapedia.bulbagarden.net/wiki/Feebas_(Pok%C3%A9mon),20,15,20,80,10,55,200,,Fish Pokémon,Water,,0.6,7.4,3.0
350,Milotic,https://bulbapedia.bulbagarden.net/wiki/Milotic_(Pok%C3%A9mon),95,60,79,81,100,125,540,,Tender Pokémon,Water,,6.2,162.0,3.0
351,Castform,https://bulbapedia.bulbagarden.net/wiki/Castform_(Pok%C3%A9mon),70,70,70,70,70,70,420,,Weather Pokémon,Normal,,0.3,0.8,3.0
